Ikokoto,9492.23076923077,15655389.4700855
Image,3606.88888888889,125200.385185185
Mafwemiro,3359,210089.185185185
Mamirwa,2915.90476190476,142809.248677249
Mazumbai,4666.78787878788,2637405.65050505
Mbulu,12455.8571428571,31543887.4854497
MtKenya,3777.33333333333,1071608.16666667
Mufindi,9639.93333333333,11858909.0831746
Namuli,8152.1962962963,1348649.7044856
Ndundulu,4009.1,1372523.8047619
Nguru,3267,100568.966666667
Njesi,8303.32,3121156.70088889
Rungwe,10340,1177435.72222222
Selebu,3871.79166666667,849388.803240741
SouthPare,5753.5,NA
Uluguru,3889.02380952381,303310.744708995
