Ikokoto,-2.92537356104051,0.02385196802169
Image,-2.67194722454301,0.132879952416617
Mafwemiro,-2.55428364668611,0.376977988612434
Mamirwa,-2.51368737383601,0.0787892075517029
Mazumbai,-2.68380866385315,0.029981624924636
Mbulu,-2.70212360795545,0.0397056321757472
MtKenya,-2.98598433902998,0.057310474521308
Mufindi,-2.69535345889952,0.0124096626967094
Namuli,-2.76010925621077,0.00170494983380779
Ndundulu,-2.5632951044382,0.100880121520973
Nguru,-2.82284067926996,0.10778109587948
Njesi,-2.59201681800287,0.0364373903266895
Rungwe,-2.6827812057034,0.0105825865212052
Selebu,-2.42023747823355,0.0757870059727782
SouthPare,-3.0398715349584,missing
Uluguru,-2.92816398750801,0.0331217848292598
